seq,title,genre,text,reviewer,rate,like,comment
23,이터널스,2021 ? 판타지/액션/모험 ? 미국,굉장히 어중간하다. 두 마리의 토끼를 잡으려다 두 마리다 놓친 격.,조호연,3,87,3
24,이터널스,2021 ? 판타지/액션/모험 ? 미국,"아무리 클로이자오 라지만
쫄쫄이 입었는데 되겠냐고
.
.
#마블리타격감은인간을팰때가
#마블리갬성는조선말로욕해야
#마블리는욕하며인간을팰때가
#최고의희열이며오우야이거늘
#영어하며외계인패는건별로네
#왜히어로들은망토에쫄쫄이지
#좀참신한복장뭐좀딴거없을까
#시간과공간넘나들다산으로감
#전윤제핵꿀잠자다깨서헛소리
#시작할때느낌이딱잘꺼같았어
#너도요즘히어로물보면자더라
#전윤제짜식벌써이렇게컸구나",윤제아빠,2,83,4
25,이터널스,2021 ? 판타지/액션/모험 ? 미국,"태초부터 시작된 생성과 파멸 그리고 생명
&nbsp; 갠적으로 좀 산만한 느낌이 들었다
#예상은 했지만 그래도 마블리 행님 비중은 아쉽네ㅜㅜ
#용산CGV IMAX LASER 2D",Dh,3,82,0
26,이터널스,2021 ? 판타지/액션/모험 ? 미국,마블은 아직도 야심차다.,팬서,3,82,8
27,이터널스,2021 ? 판타지/액션/모험 ? 미국,이 터널까지 지나고 나니 또렷해진 마블 페이즈 4의 방향과 궁금해지는 대계획.,황재윤,3,79,0
28,이터널스,2021 ? 판타지/액션/모험 ? 미국,"베스킨라빈스 써리원의 31가지 아이스크림 맛은 줄줄이 외우고 말할 수 있어도,
'이터널스'의 10명의 히어로들은 보자마자 머리속에서 이름이 지워지는 작품.
특징이 없어 보느니  베스킨라빈스 하프 갤런을 드실 것을 추천한다.",차지훈,3,79,0
29,이터널스,2021 ? 판타지/액션/모험 ? 미국,"Good : 마블이 만든 영화 중 가장 야심 찬 영화이다
Caution : 너무 많은 것들을 한 바구니에 담았다.",TERU,3,75,0
30,이터널스,2021 ? 판타지/액션/모험 ? 미국,"""이터널스""가 아주 오래전부터 지구를 지켜주고 있다는 증거는 세계 곳곳에서 찾아볼 수 있다.. 다낭 골든브릿지, 포항 호미곶, 여수 예술랜드 등등..ㅋㅋ",방쌤,3,74,4
31,이터널스,2021 ? 판타지/액션/모험 ? 미국,"'이터널스'는 데비안츠라는 괴물들로부터 인류를 지키기 위해 수천년 전에 지구로 온 불멸의 존재들인 이터널스에 대한 슈퍼히어로 영화다. MCU의 이번 영화는 아카데미 수상 감독에 빛나는 클로이 자오가 맡게 되며 꽤나 많은 흥미를 끌었지만, 그 둘의 조합은 그야말로 잘못된 만남이 아니었나 싶기도 하다.

'노매드랜드'로 각종 상들을 휩쓴 클로이 자오 감독이 마블 영화를 맡으면 대체 어떨까 꽤나 궁금해서 이 영화를 보기 전에 클로이 자오의 장편 필모그래피를 마저 봤다. '내 형제가 가르쳐준 노래', '로데오 카우보이'와 '노매드랜드'를 보면 클로이 자오의 확고한 스타일을 볼 수 있다. 테렌스 맬릭의 연출 스타일에서 아주 많은 영향을 받은 듯한 자연 풍광을 극대화한 광각 와이드의 영상미와 같은 대사 안에서도 계속 자르기도 하는 편집 스타일은 그의 데뷔작에서부터 눈에 띄었다. 하지만 클로이 자오는 공통적으로 바라보는 주제가 있다. '내 형제가 가르쳐준 노래'와 '로데오 카우보이'는 아메리카 원주민들을 주인공으로 삼고, '노매드랜드'는 현대의 유랑민들을 조명하며, 그녀는 미국 중부의 광활한 평야를 배경으로 삼으며, 그곳을 수천년동안 지켜온 자연처럼, 옛적의 ""미국다운"" 삶을 유지하는 듯한 사람들의 희로애락과 생활을 담고 있으며, 거의 본인을 연기하는 비전문 배우들 위주로 캐스팅을 하며 다큐멘터리적인 느낌이 강한 드라마를 연출한다. 그런 면에서 션 베이커와 비슷한 관점을 가진 감독이 아닌가 싶기도 하다. 그리고 비전문 배우들이 많이 캐스팅 되는 만큼, 그녀는 주연 배우 한명에게 보통 많은 시간과 비중을 집중시키며 조연 이하 캐릭터들의 연기 부담을 줄이는 듯하고, '노매드랜드'에서는 아예 주연 역에는 베테랑 배우를 기용했다. 이런 점들을 보면 클로이 자오는 확연한 자신만의 스타일과 관심사가 있는 감독인데, 이 영화는 그런 면에서 클로이 자오의 기존 작품들과 겹치는 부분들이 거의 없는 프로젝트라는 점에서 매우 흥미롭다.

이 영화는 팀의 오리진 스토리 영화다. MCU는 이미 '가디언즈 오브 갤럭시'로 히어로 솔로 영화 뿐만 아니라 히어로 팀 영화도 성공시킨 경험이 있다. 아마 그래서 이번 영화에도 어느 정도 자신감이 있지 않았을까 싶다. 하지만 '가오갤'은 히어로가 5명, 비교적 손이 덜 가는 그루트를 제외하면 사실상 4명의 캐릭터들을 가지고 팀을 짜는 영화다. 하지만 이 영화는 일단 숫자에서부터 다르다. 무려 10명의 구성원으로 이뤄진 팀이라는 점에서 이 영화는 애초부터 선택과 집중을 했어야했다. 다시 말해 이 중 일부는 불가피하게 역할들을 축소시켰어야 했다. 하지만 영화는 그 중 대다수에게 꽤 구체적인 서브플롯을 주려고 하며, 그 때문에 엄청나게 많은 시간을 할애한다. 2시간 반이 넘는 영화지만 그 중 80퍼센트가 사실상 1막인 느낌이었다. 그리고 시간이 다 되니 결국 캐릭터들의 위기와 갈등을 본격적으로 다뤄야할 2막은 엄청나게 짧게 느껴져서 이들의 감정들과 갈등들을 이해하고 공감하기 힘들었으며, 그 갈등의 해소를 맡아야할 클라이막스의 3막도 정확한 갈등 관계가 제대로 형상화되지 않았기 때문에 액션은 계속해서 벌어지고 있지만 긴장감도 없다.

그래서 각 캐릭터에게 많은 시간을 할애한만큼 모든 캐릭터가 매력있게 느껴졌냐면 그것도 아니다. 우선 마음에 들었던 캐릭터는 젬마 찬의 세르시, 브라이언 타이리 헨리의 파스토스와 배리 키오건의 드루이그다. 젬마 찬 같은 경우는 이 팀의 리더 격이자 이 영화의 사실상 주인공 ('가오갤'로 치면 스타로드)의 역할이면서도 인간들과 동화되며 그들과 하나가 된 전형적인 슈퍼히어로상을 보여줬다. 하지만 수많은 다른 마블 히어로들과 달리 비교적 조곤조곤하고 우아한 느낌이 있어서 색다른 매력이 있다고 생각한다. 한편 브라이언 타이리 헨리와 배리 키오건은 가장 뚜렷한 동기와 주관과 가치관을 드러낸 캐릭터들인 만큼 이들을 이해하고 이에 몰입하기 편했던 인물들이었다. 하지만 나머지 캐릭터들에게는 엇갈린 삼각관계, 긴 인연으로 쌓인 우정과 정 등 여러가지 드라마거리를 주긴 하지만, 그에 할애한 시간이 적거나 배우들 간의 호흡이 불만족스러워서 그렇게 좋은 감상이 들진 않았다. 여기서 하나 더 주목해야할 것이, 이 영화는 단순히 머릿수만 많은 것이 문제가 아니라 세월도 길다는 것이다. '가오갤' 같은 경우는 당사자들과 함께 관객들도 함께 주인공들에 대해 알아가고 호흡을 만들어가는 과정이기 때문에 오리진 스토리로서 몰입하기 좋다. 하지만 이 영화는 이미 초장부터 수천년 간 모든 것을 함께 해온 가족과도 같은 팀으로 소개하기 때문에, 관객 입장에서는 이들의 감정들과 호흡을 한번에 이해하고 알아보기에는 매우 벅차다.

이제 클로이 자오와 이 영화에 대해서 이야기해보자. 앞서 말했듯이 클로이 자오는 그레이트플레인즈 같은 광활하고 황량한 배경을 정적이거나 정교하게 통제된 와이드숏으로 담는 것을 좋아하며, 자연적인 조명을 즐겨 쓰고, 핸드헬드로 밀접하게 캐릭터들을 좇으며 다큐멘터리적인 느낌을 극대화하고, 대사도 최대한 자연스럽고 현실적인 것을 좋아하고, 이를 비전문 배우를 통해 더욱 더 그 맛을 살린다. 그리고 이를 통해 현대 문명과 동떨어진 한 사회 속의 개인에 대한 이야기를 잘 펼친다. 이 모든 것은 스튜디오 제작 블록버스터와 매우 다른 색이다. 그만큼 이 영화에서 사실 클로이 자오다운 연출 스타일을 아주 많이 찾기는 힘들다. 시각적인 스토리텔링에 아주 능숙한 사람이지만 영화 속에선 너무나도 많은 정보량을 대사로 막 쏟아내야하기 때문에 그런 장점들이 부각되지 않거나, 살릴 기회를 놓치기도 한다. 거기다가 단독 주연 위주의 캐릭터 드라마들을 연출했기 때문인지 이런 앙상블 영화에서 캐릭터들을 여럿 다뤄야하는 것도 상당히 부담스럽게 여기는 것 같았다. 한편, 슈퍼히어로 영화이기 때문에 ""자연스러운""이라는 키워드 자체가 잘 성립이 안 되기도하다. 결국 남는 것은 대자연 위주로 선정한 로케이션, 특히 사막이나 해변처럼 모래와 먼지바람이 휘날리는 익숙한 풍경, 그리고 이 안에서 매직아워 햇빛을 적극적으로 활용하는 와이드숏 구도들 정도를 통해 클로이 자오의 입김이 느껴지는 정도다. 결국 이 영화는 기획 단계에서 욕심이 과했으며, 이를 맡을 감독도 잘못 선정한 느낌이 든다.",조항빈,2,72,0
32,이터널스,2021 ? 판타지/액션/모험 ? 미국,히로시마 원폭 장면에서 좀 애매한 측면이 있었는데 각본가가 일본계 미국인이었구나..,권혜정,3,69,1
